band,day,stage,time
Houkago Grind Time,"Sunday May 24, 2026",Soundstage,08:40-09:25
Vio-lence,"Sunday May 24, 2026",Power Plant Live,08:50-09:40
Antichrist Siege Machine,"Sunday May 24, 2026",Nevermore Hall,08:50-09:35
Tómarúm,"Sunday May 24, 2026",Angels Rock Bar,09:20-09:50
Sarcófago,"Sunday May 24, 2026",Market Place,09:45-10:45
Sex Prisoner,"Sunday May 24, 2026",Soundstage,10:35-11:10
…And Oceans,"Sunday May 24, 2026",Nevermore Hall,10:50-11:40
Gudsforladt,"Sunday May 24, 2026",Angels Rock Bar,10:50-11:20
Dying Fetus,"Sunday May 24, 2026",Power Plant Live,11:10-12:00
!T.O.O.H.!,"Sunday May 24, 2026",Soundstage,11:35-12:20
Cemetery Moon,"Sunday May 24, 2026",Angels Rock Bar,11:45-12:20
Batushka,"Sunday May 24, 2026",Nevermore Hall,12:20-01:20
Cephalic Carnage,"Sunday May 24, 2026",Soundstage,12:45-01:30
